Date,Open,High,Low,Close Price,Adj Close,Volume
2002-07-01,70.809998,70.809998,70.800003,70.800003,47.74828,113
2002-07-02,70,70,69.190002,69.330002,46.756893,95
2002-07-03,70.400002,70.400002,70.379997,70.400002,47.478512,148
2002-07-04,69.309998,69.400002,69.309998,69.389999,46.797359,62
2002-07-05,69.419998,69.419998,69.019997,69.129997,46.622009,300
2002-07-08,69,69.400002,69,69.269997,46.716427,480
2002-07-09,70,71.199997,68.709999,70.050003,47.24247,157
2002-07-10,69.129997,69.129997,69.129997,69.129997,46.622009,50
2002-07-11,70,70.779999,70,70.360001,47.451534,429
2002-07-12,69.169998,69.169998,69.169998,69.169998,46.648987,10
2002-07-15,70,70,70,70,47.208752,100
2002-07-16,71,71,70.980003,70.980003,47.869667,52
2002-07-17,68.220001,68.220001,68.220001,68.220001,46.008305,40
2002-07-18,71,71,71,71,47.883167,10
2002-07-19,70.800003,70.800003,70,70,47.208752,100
2002-07-22,70.400002,70.400002,70.400002,70.400002,47.478512,50
2002-07-23,69.010002,70.980003,69.010002,70.980003,47.869667,60
2002-07-24,70.019997,70.379997,70.019997,70.379997,47.465027,20
2002-07-25,71,71,71,71,47.883167,10
2002-07-26,69.019997,70.599998,69,70.010002,47.215496,691
2002-07-29,70.010002,70.010002,70.010002,70.010002,47.215496,0
2002-07-30,68.760002,68.760002,68.760002,68.760002,46.372482,50
2002-07-31,72,72,70,70,47.208752,365
2002-08-01,70,70,70,70,47.208752,0
2002-08-02,69.199997,69.199997,69.199997,69.199997,46.66922,10
2002-08-05,69.199997,69.199997,69.199997,69.199997,46.66922,0
2002-08-06,73.599998,73.599998,73.599998,73.599998,49.636623,5
2002-08-07,73.599998,73.599998,73.599998,73.599998,49.636623,0
2002-08-08,70.029999,70.519997,70.029999,70.519997,47.559448,150
2002-08-09,69.099998,70,69.099998,70,47.208752,35
2002-08-12,70,71,70,71,47.883167,535
2002-08-13,71,71,71,71,47.883167,150
2002-08-14,70.32,70.32,70.32,70.32,47.424549,300
2002-08-15,70.32,70.32,70.32,70.32,47.424549,0
2002-08-16,70.32,70.32,70.32,70.32,47.424549,0
2002-08-19,70.32,70.32,70.32,70.32,47.424549,0
2002-08-20,70.839996,71,70.830002,70.830002,47.768509,250
2002-08-21,70.639999,70.639999,70.620003,70.620003,47.626888,260
2002-08-22,70.220001,70.800003,70,70.199997,47.343628,400
2002-08-23,70.330002,70.330002,70.330002,70.330002,47.431305,100
2002-08-26,70.800003,70.800003,70.800003,70.800003,47.74828,50
2002-08-27,70.800003,70.800003,70.800003,70.800003,47.74828,0
2002-08-28,69.019997,71,69.019997,71,47.883167,201
2002-08-29,70.550003,70.550003,70.550003,70.550003,47.579681,50
2002-08-30,70.989998,71,70.989998,70.989998,47.876415,285
2002-09-02,71.800003,71.800003,70.699997,70.699997,47.680836,25
2002-09-03,70.099998,70.57,70.050003,70.57,47.59317,275
2002-09-04,71,71,70.629997,70.629997,47.633636,55
2002-09-05,70.629997,70.629997,70.629997,70.629997,47.633636,810
2002-09-06,71.389999,71.389999,70.620003,70.620003,47.626888,20
2002-09-09,69.629997,70.550003,69.629997,70.550003,47.579681,100
2002-09-10,70.550003,70.550003,70.550003,70.550003,47.579681,0
2002-09-11,70.050003,70.349998,70.050003,70.349998,47.444794,60
2002-09-12,71.169998,71.169998,70.809998,70.809998,47.755016,10
2002-09-13,70.809998,70.809998,70.809998,70.809998,47.755016,0
2002-09-16,68.269997,71.389999,68.269997,70.449997,47.512241,543
2002-09-17,70.739998,70.739998,70.739998,70.739998,47.707809,80
2002-09-18,70.739998,70.739998,70.739998,70.739998,47.707809,0
2002-09-19,71,71,70.730003,70.730003,47.701073,28
2002-09-20,70.730003,70.730003,70.730003,70.730003,47.701073,0
2002-09-23,71.199997,71.199997,71.199997,71.199997,48.01804,50
2002-09-24,71.199997,71.199997,71.199997,71.199997,48.01804,0
2002-09-25,70.309998,70.309998,70.300003,70.300003,47.411076,10
2002-09-26,70.82,70.82,70.82,70.82,47.761772,50
2002-09-27,74,74.800003,73.25,73.32,49.447792,2440
2002-09-30,73.25,73.339996,73.25,73.32,49.447792,430
2002-10-01,73.309998,73.360001,73.309998,73.360001,49.474777,450
2002-10-02,73.360001,73.360001,73.360001,73.360001,49.474777,0
2002-10-03,72.709999,73.370003,72.709999,73.370003,49.48151,11
2002-10-04,73.290001,73.360001,73.290001,73.360001,49.474777,200
2002-10-07,73.419998,73.419998,73.400002,73.400002,49.501751,250
2002-10-08,73.419998,73.419998,73.419998,73.419998,49.515232,58
2002-10-09,73.410004,73.410004,73.400002,73.400002,49.501751,350
2002-10-10,73.400002,73.400002,73.400002,73.400002,49.501751,0
2002-10-11,73.220001,73.220001,73.220001,73.220001,49.380356,5
2002-10-14,73.300003,73.300003,73.300003,73.300003,49.434311,10
2002-10-15,73.300003,73.300003,73.300003,73.300003,49.434311,0
2002-10-16,73.32,73.32,73.32,73.32,49.447792,100
2002-10-17,73.32,73.32,73.32,73.32,49.447792,0
2002-10-18,73.32,73.32,73.32,73.32,49.447792,0
2002-10-21,73.400002,74,73.400002,74,49.906387,60
2002-10-22,74,74,73.400002,73.400002,49.501751,2
2002-10-23,73.400002,74,73.370003,73.370003,49.48151,449
2002-10-24,73.400002,73.400002,73.400002,73.400002,49.501751,118
2002-10-25,73.400002,73.410004,73.400002,73.410004,49.508492,20
2002-10-28,73.489998,73.800003,73.489998,73.559998,49.609653,325
2002-10-29,73.580002,73.580002,73.580002,73.580002,49.623138,50
2002-10-30,73,74.400002,73,74.400002,50.176163,665
2002-10-31,73.099998,73.099998,73.099998,73.099998,49.299431,50
2002-11-01,74.800003,75,74.220001,75,50.580803,6555
2002-11-04,74.599998,75,74.599998,74.82,50.459408,138
2002-11-05,75,75,75,75,50.580803,155
2002-11-06,75,75,75,75,50.580803,0
2002-11-07,75,75.580002,75,75.580002,50.971966,608
2002-11-08,75.400002,75.400002,75,75,50.580803,375
2002-11-11,75,75,75,75,50.580803,100
2002-11-12,75,75,75,75,50.580803,35
2002-11-13,75,75,75,75,50.580803,715
2002-11-14,74.239998,75.199997,74.239998,75,50.580803,192
2002-11-15,75,75,75,75,50.580803,544
2002-11-18,75,75,75,75,50.580803,900
2002-11-19,75,75,75,75,50.580803,0
2002-11-20,75,75,75,75,50.580803,785
2002-11-21,75,75.199997,75,75,50.580803,832
2002-11-22,75.050003,75.050003,75.010002,75.010002,50.587559,1000
2002-11-25,75.010002,75.099998,75,75.099998,50.648247,1228
2002-11-26,75.010002,75.010002,75.010002,75.010002,50.587559,260
2002-11-27,75.010002,75.010002,75.010002,75.010002,50.587559,175
2002-11-28,75.010002,75.010002,75.010002,75.010002,50.587559,495
2002-11-29,74,74.199997,74,74.089996,49.967094,110
