Date,Open,High,Low,Close Price,Adj Close,Volume
2002-07-01,9.6,9.74,9.55,9.57,7.026192,825970
2002-07-02,9.6,9.67,9.45,9.5,6.974799,653405
2002-07-03,9.46,9.57,9.46,9.51,6.982141,305880
2002-07-04,9.56,9.9,9.52,9.72,7.136322,2413155
2002-07-05,9.9,9.95,9.6,9.85,7.231765,3460955
2002-07-08,9.9,10.04,9.8,9.86,7.239109,2791970
2002-07-09,9.9,9.92,9.7,9.77,7.173031,716330
2002-07-10,9.76,9.88,9.65,9.83,7.217083,1163015
2002-07-11,9.7,9.9,9.3,9.36,6.872013,1434245
2002-07-12,9.45,9.6,9.42,9.51,6.982141,673410
2002-07-15,11.22,11.22,9.36,9.77,7.173031,1958485
2002-07-16,9.6,9.78,9.42,9.5,6.974799,1115835
2002-07-17,9.58,9.58,9.25,9.33,6.849986,468885
2002-07-18,9.41,9.5,9.28,9.38,6.886697,271340
2002-07-19,8.6,9.4,8.6,9.3,6.827964,317560
2002-07-22,9.2,9.2,8.92,8.96,6.578339,508510
2002-07-23,9.24,9.24,8.82,9.12,6.695808,321750
2002-07-24,9.02,9.2,9,9.14,6.710492,614330
2002-07-25,9.7,9.7,9.05,9.12,6.695808,417915
2002-07-26,9.09,9.2,8.82,8.91,6.541629,842775
2002-07-29,9,9.18,8.62,8.7,6.387448,972715
2002-07-30,8.95,8.98,8.7,8.74,6.416817,604080
2002-07-31,8.74,8.74,8.53,8.58,6.299347,752895
2002-08-01,8.7,8.86,8.64,8.8,6.460868,776880
2002-08-02,10.12,10.12,8.2,9.15,6.717834,978845
2002-08-05,9.4,9.43,9.04,9.32,6.842647,1663065
2002-08-06,9.2,9.22,9.06,9.11,6.688464,1362320
2002-08-07,9.36,9.36,8.91,8.95,6.570994,676635
2002-08-08,8.89,9.04,8.86,8.96,6.578339,920445
2002-08-09,9.02,9.02,8.82,8.87,6.512259,344730
2002-08-12,7.45,9.07,7.45,8.91,6.541629,656355
2002-08-13,9.04,9.04,8.86,8.89,6.526945,629060
2002-08-14,8.9,9.01,8.77,9,6.607704,863860
2002-08-15,9,9,9,9,6.607704,0
2002-08-16,8.92,9.16,8.91,9.11,6.688464,772460
2002-08-19,9.24,9.26,9.17,9.24,6.783912,1502830
2002-08-20,9.2,9.4,9.2,9.37,6.879355,1094565
2002-08-21,9.45,9.45,9.21,9.27,6.805937,755185
2002-08-22,9.25,9.25,9.08,9.15,6.717834,377410
2002-08-23,9.1,9.39,9.1,9.35,6.864673,1216535
2002-08-26,9.3,9.38,9.25,9.29,6.820621,397415
2002-08-27,9.22,9.25,9.15,9.18,6.739859,341990
2002-08-28,9.07,9.2,9.04,9.06,6.651757,306935
2002-08-29,9.2,9.2,9.01,9.03,6.629731,181690
2002-08-30,9.4,9.4,8.96,9.13,6.703149,642855
2002-09-02,9.32,9.32,9.04,9.1,6.681124,725025
2002-09-03,9.1,9.1,8.92,8.94,6.563653,340035
2002-09-04,8.86,8.96,8.84,8.91,6.541629,196310
2002-09-05,8.9,8.97,8.85,8.86,6.504919,118600
2002-09-06,8.88,8.94,8.8,8.82,6.47555,301385
2002-09-09,8.8,8.82,8.7,8.7,6.387448,404010
2002-09-10,8.7,8.7,8.7,8.7,6.387448,0
2002-09-11,9.1,9.12,8.76,8.85,6.497578,663800
2002-09-12,8.82,8.98,8.8,8.85,6.497578,290880
2002-09-13,8.82,9.1,8.82,8.97,6.58568,1437160
2002-09-16,9,9.22,8.95,9.07,6.659098,2434590
2002-09-17,8.91,9.05,8.91,8.93,6.556312,312800
2002-09-18,8.99,8.99,8.82,8.84,6.490236,259615
2002-09-19,8.84,8.85,8.76,8.84,6.490236,396250
2002-09-20,8.73,8.9,8.68,8.88,6.519602,424995
2002-09-23,8.9,9,8.87,8.9,6.534285,2637360
2002-09-24,8.9,8.9,8.75,8.79,6.453526,245460
2002-09-25,8.75,8.87,8.5,8.82,6.47555,312685
2002-09-26,8.87,8.87,8.75,8.77,6.438843,82850
2002-09-27,8.8,8.95,8.76,8.94,6.563653,474405
2002-09-30,8.98,8.98,8.82,8.9,6.534285,783145
2002-10-01,8.94,8.94,8.8,8.88,6.519602,398550
2002-10-02,8.88,8.88,8.88,8.88,6.519602,0
2002-10-03,8.78,8.87,8.78,8.83,6.482893,299810
2002-10-04,8.89,8.89,8.74,8.76,6.4315,473405
2002-10-07,8.8,8.84,8.72,8.76,6.4315,221700
2002-10-08,8.8,8.8,8.6,8.72,6.402132,219625
2002-10-09,8.8,8.8,8.51,8.56,6.284662,425695
2002-10-10,8.59,8.61,8.52,8.53,6.262636,91350
2002-10-11,8,8.57,8,8.14,5.976303,605235
2002-10-14,8.2,8.4,8.15,8.19,6.013011,267625
2002-10-15,8.19,8.19,8.19,8.19,6.013011,0
2002-10-16,8.29,8.4,8.2,8.3,6.093773,241865
2002-10-17,8.28,8.32,8.22,8.26,6.064405,210230
2002-10-18,8.26,8.34,8.23,8.28,6.07909,106015
2002-10-21,8.3,8.36,8.25,8.33,6.115798,150925
2002-10-22,8.3,8.32,8.25,8.28,6.07909,126795
2002-10-23,8.34,8.34,8.2,8.2,6.020354,146180
2002-10-24,8.2,8.26,8.09,8.1,5.946935,279080
2002-10-25,8.1,8.21,8.07,8.09,5.939593,203225
2002-10-28,8.14,8.2,8.03,8.14,5.976303,305830
2002-10-29,8.38,8.41,8.25,8.33,6.115798,484345
2002-10-30,8.39,8.4,8.26,8.28,6.07909,282370
2002-10-31,8.26,8.35,8.26,8.31,6.101114,88315
2002-11-01,8.2,8.51,8.2,8.45,6.203902,234700
2002-11-04,8.6,8.7,8.41,8.53,6.262636,114715
2002-11-05,8.6,8.63,8.45,8.6,6.31403,303100
2002-11-06,8.6,8.6,8.6,8.6,6.31403,0
2002-11-07,8.7,8.7,8.52,8.59,6.306688,245175
2002-11-08,8.72,8.72,8.5,8.52,6.255296,255955
2002-11-11,8.57,8.57,8.36,8.4,6.167192,856440
2002-11-12,8.39,8.4,8.23,8.24,6.04972,735295
2002-11-13,8.25,8.34,8.22,8.27,6.071747,133895
2002-11-14,8.26,8.48,8.26,8.36,6.137824,99690
2002-11-15,8.37,8.43,8.3,8.34,6.12314,585705
2002-11-18,8.36,8.53,8.31,8.35,6.130483,690895
2002-11-19,8.35,8.35,8.35,8.35,6.130483,0
2002-11-20,8.35,8.39,8.23,8.24,6.04972,598295
2002-11-21,8.36,8.36,8.15,8.18,6.00567,466890
2002-11-22,8.32,8.69,8.28,8.37,6.145166,2391645
2002-11-25,8.58,8.79,8.45,8.77,6.438843,2462595
2002-11-26,8.76,8.89,8.65,8.67,6.365424,918950
2002-11-27,8.7,8.97,8.64,8.78,6.446183,2300490
2002-11-28,8.85,8.94,8.81,8.9,6.534285,1572175
2002-11-29,8.98,9.15,8.81,9.05,6.644415,1869905
2002-12-02,9.14,9.6,9.06,9.48,6.960116,3108010
2002-12-03,9.4,9.8,9.4,9.53,6.996826,2338235
2002-12-04,9.39,9.7,9.39,9.49,6.967458,1189445
2002-12-05,9.48,9.86,9.48,9.62,7.062901,2399925
2002-12-06,9.6,10.34,9.6,10.19,7.481388,3236605
2002-12-09,10.2,11.37,10.2,10.81,7.936589,5562220
2002-12-10,10.8,10.96,10.51,10.71,7.86317,2228610
2002-12-11,10.82,11.78,10.51,11.44,8.399127,7417730
2002-12-12,11.61,12.1,11.45,11.86,8.707488,11358215
2002-12-13,12.11,12.83,12,12.49,9.170027,8838860
2002-12-16,12.76,13.24,12.32,12.52,9.192053,7529885
2002-12-17,12.41,13.4,11.72,13,9.544463,9385280
2002-12-18,13.7,14.18,13.46,14.04,10.30802,17190520
2002-12-19,13.98,14.05,13,13.14,9.64725,12456095
2002-12-20,13.25,13.55,13.07,13.2,9.691302,6072695
2002-12-23,13.14,13.3,12.71,12.96,9.515097,4447235
2002-12-24,13.19,13.8,12.91,13.53,9.933583,6553245
2002-12-25,13.53,13.53,13.53,13.53,9.933583,0
2002-12-26,13.75,14.17,13.63,14.01,10.285995,6397520
2002-12-27,14.28,14.43,13.81,14.03,10.300678,5983920
2002-12-30,13.88,13.99,12,13.69,10.051056,2967130
2002-12-31,13.74,14.66,13.63,14.51,10.65309,10311195
2003-01-01,14.4,14.5,13.02,13.09,9.610539,25839495
2003-01-02,13.42,13.9,12.96,13.07,9.595857,14292970
2003-01-03,13.2,13.45,12.62,12.68,9.309522,6061740
2003-01-06,12.7,12.88,11.95,12.1,8.883694,8052370
2003-01-07,12.19,13.22,12.06,13.11,9.625221,22066990
2003-01-08,14.02,14.02,13.2,13.7,10.058393,10076150
2003-01-09,13.81,15,13.8,14.9,10.939423,29300310
2003-01-10,15.1,15.49,14.46,14.98,10.998158,14887595
2003-01-13,15.14,15.53,14.95,15.43,11.328544,11423805
2003-01-14,15.59,15.6,15.02,15.11,11.093603,5623830
2003-01-15,14.65,15.85,14.65,15.73,11.5488,10831725
2003-01-16,15.8,16.08,15.73,15.81,11.607535,7348740
2003-01-17,15.9,15.9,15.43,15.53,11.401962,4696085
2003-01-20,15.56,16.48,15.05,16.280001,11.952605,13231210
2003-01-21,16.42,17.049999,16.299999,16.860001,12.378433,15070660
