,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
-20,0.8055555555555556,0.8,0.2,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-19,0.888888888888889,0.8,0.2,0.16666666666666666,0.3333333333333333,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-18,0.9166666666666667,0.8,0.4,0.5,0.6666666666666666,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-17,0.9166666666666667,0.8,0.8,0.5,0.6666666666666666,0.14285714285714285,0.16666666666666666,0.047619047619047616,0.0,0.02857142857142857,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-16,0.9166666666666667,0.8,0.8,0.5,0.6666666666666666,0.14285714285714285,0.3333333333333333,0.09523809523809523,0.0,0.02857142857142857,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-15,0.9166666666666667,0.8,0.8,0.6666666666666666,0.6666666666666666,0.5714285714285714,0.5,0.09523809523809523,0.0,0.05714285714285714,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-14,0.9444444444444445,0.8,1.0,0.6666666666666666,0.6666666666666666,0.5714285714285714,0.5833333333333334,0.3333333333333333,0.125,0.05714285714285714,0.0,0.0,0.04081632653061224,0.0,0.006756756756756757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-13,0.9444444444444445,0.8,1.0,0.6666666666666666,0.6666666666666666,0.8571428571428571,0.75,0.5238095238095237,0.3125,0.17142857142857143,0.027777777777777776,0.08571428571428572,0.04081632653061224,0.0,0.013513513513513514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007751937984496124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-12,0.9722222222222223,0.8,1.0,0.6666666666666666,1.0,0.8571428571428571,0.8333333333333334,0.6666666666666665,0.375,0.34285714285714286,0.05555555555555555,0.08571428571428572,0.061224489795918366,0.0,0.02027027027027027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007751937984496124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11,1.0,0.8,1.0,0.8333333333333333,1.0,0.8571428571428571,0.8333333333333334,0.857142857142857,0.625,0.5142857142857142,0.25,0.22857142857142856,0.10204081632653061,0.010869565217391304,0.033783783783783786,0.011111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007751937984496124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-10,1.0,1.0,1.0,0.8333333333333333,1.0,1.0,0.9166666666666667,0.857142857142857,0.6875,0.6857142857142857,0.5,0.2857142857142857,0.22448979591836735,0.08695652173913043,0.04054054054054054,0.011111111111111112,0.0,0.0038022813688212928,0.002680965147453083,0.0,0.0,0.0,0.0,0.0,0.0,0.007751937984496124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-9,1.0,1.0,1.0,0.8333333333333333,1.0,1.0,0.9166666666666667,0.857142857142857,0.75,0.8285714285714285,0.6666666666666666,0.37142857142857144,0.326530612244898,0.11956521739130435,0.07432432432432433,0.03333333333333333,0.0,0.0038022813688212928,0.00804289544235925,0.0,0.0027247956403269754,0.0,0.0,0.0,0.0,0.007751937984496124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-8,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,0.9166666666666667,0.857142857142857,0.75,0.9142857142857143,0.7222222222222222,0.6571428571428571,0.4897959183673469,0.25,0.13513513513513514,0.044444444444444446,0.00851063829787234,0.0038022813688212928,0.00804289544235925,0.0,0.0027247956403269754,0.0,0.0,0.0,0.0,0.007751937984496124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-7,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,0.9166666666666667,0.9047619047619047,0.8125,0.9714285714285714,0.8611111111111112,0.7428571428571429,0.7346938775510203,0.44565217391304346,0.2972972972972973,0.13333333333333333,0.02127659574468085,0.022813688212927757,0.013404825737265416,0.0,0.0027247956403269754,0.0,0.0,0.0,0.0,0.007751937984496124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
